timestamp,pupil_left,pupil_right,validity_left,validity_right,event
9387980.814,4.7995,4.32509,0,0,picture
9387997.481,4.74683,4.2773,0,0,white
9388014.147,4.7068,4.23679,0,0,white
9388030.814,4.67049,4.19644,0,0,white
9388047.481,4.62875,4.1586,0,0,white
9388064.147,4.59341,4.12595,0,0,white
9388080.814,4.55518,4.10091,0,0,white
9388097.481,4.52405,4.07362,0,0,white
9388114.147,4.49074,4.03867,0,0,white
9388130.814,4.4593,4.0132,0,0,white
9388147.481,4.43039,3.98915,0,0,white
9388164.147,4.39963,3.96707,0,0,white
9388180.814,4.38966,3.94073,0,0,white
9388197.481,4.368,3.90997,0,0,white
9388214.147,4.3365,3.88477,0,0,white
9388230.814,4.31631,3.8703,0,0,white
9388247.481,4.29721,3.85081,0,0,white
9388264.147,4.27548,3.83173,0,0,white
9388280.814,4.25957,3.82166,0,0,white
9388297.481,4.24036,3.80032,0,0,white
9388314.147,4.22447,3.79047,0,0,white
9388330.814,4.21007,3.77991,0,0,white
9388347.481,4.1951,3.77028,0,0,white
9388364.147,4.18625,3.75658,0,0,white
9388380.814,4.17653,3.75462,0,0,white
9388397.481,4.16338,3.74937,0,0,white
9388414.147,4.15477,3.73477,0,0,white
9388430.814,4.14447,3.7281,0,0,white
9388447.481,4.13748,3.7258,0,0,white
9388464.147,4.12961,3.71417,0,0,white
9388480.814,4.12372,3.71616,0,0,white
9388497.481,4.11646,3.7079,0,0,white
9388514.147,4.1035,3.7012,0,0,white
9388530.814,4.09343,3.70164,0,0,white
9388547.481,4.09431,3.69513,0,0,white
9388564.147,4.07808,3.68437,0,0,white
9388580.814,4.07602,3.67889,0,0,white
9388597.481,4.06281,3.67892,0,0,white
9388614.147,4.05357,3.67131,0,0,white
9388630.814,4.05298,3.67128,0,0,white
9388647.481,4.04095,3.65813,0,0,white
9388664.147,4.03575,3.65459,0,0,white
9388680.814,4.02916,3.64731,0,0,white
9388697.481,4.02162,3.64285,0,0,white
9388714.147,4.01405,3.63434,0,0,white
9388730.814,4.00633,3.62717,0,0,white
9388747.481,4.00014,3.62062,0,0,white
9388764.147,3.99017,3.62169,0,0,white
9388780.814,3.9727,3.61461,0,0,white
9388797.481,3.96545,3.61404,0,0,white
9388814.147,3.96252,3.60922,0,0,white
9388830.814,3.95525,3.60703,0,0,white
9388847.481,3.95595,3.60371,0,0,white
9388864.147,3.95601,3.60229,0,0,white
9388880.814,3.95,3.59857,0,0,white
9388897.481,3.95209,3.60153,0,0,white
9388914.147,3.94963,3.59979,0,0,white
9388930.814,3.94994,3.60303,0,0,white
9388947.481,3.95145,3.60262,0,0,white
9388964.147,3.95386,3.60504,0,0,white
9388980.814,3.95912,3.60925,0,0,white
9388997.481,3.96022,3.61087,0,0,white
9389014.147,3.96088,3.61855,0,0,white
9389030.814,3.96718,3.62903,0,0,white
9389047.481,3.9722,3.63287,0,0,white
9389064.147,3.9809,3.6479,0,0,white
9389080.814,3.98225,3.66034,0,0,white
9389097.481,3.9857,3.6615,0,0,white
9389114.147,3.9987,3.67079,0,0,white
9389130.814,4.00708,3.67401,0,0,white
9389147.481,4.01765,3.68527,0,0,white
9389164.147,4.03314,3.69576,0,0,white
9389180.814,4.04442,3.70851,0,0,white
9389197.481,4.05998,3.71696,0,0,white
9389214.147,4.07057,3.73026,0,0,white
9389230.814,4.08284,3.7429,0,0,white
9389247.481,4.10043,3.75421,0,0,white
9389264.147,4.11525,3.76376,0,0,white
9389280.814,4.13095,3.7731,0,0,white
9389297.481,4.14395,3.78209,0,0,white
9389314.147,4.15807,3.79193,0,0,white
9389330.814,4.17188,3.80679,0,0,white
9389347.481,4.18484,3.81178,0,0,white
9389364.147,4.1946,3.83037,0,0,white
9389380.814,4.20352,3.83783,0,0,white
9389397.481,4.21736,3.84329,0,0,white
9389414.147,4.22466,3.85635,0,0,white
9389430.814,4.23689,3.86253,0,0,white
9389447.481,4.24489,3.87233,0,0,white
9389464.147,4.25697,3.87669,0,0,white
9389480.814,4.26312,3.88779,0,0,white
9389497.481,4.27791,3.88606,0,0,white
9389514.147,4.28558,3.90198,0,0,white
9389530.814,4.2977,3.90907,0,0,white
9389547.481,4.3046,3.91898,0,0,white
9389564.147,4.31691,3.92979,0,0,white
9389580.814,4.32812,3.93306,0,0,white
9389597.481,4.33751,3.93791,0,0,white
9389614.147,4.35132,3.9433,0,0,white
9389630.814,4.36026,3.951,0,0,white
9389647.481,4.36789,3.95003,0,0,white
9389664.147,4.377,3.96165,0,0,white
9389680.814,4.38306,3.95576,0,0,white
9389697.481,4.3903,3.97145,0,0,white
9389714.147,4.3968,3.96471,0,0,white
9389730.814,4.40105,3.97173,0,0,white
9389747.481,4.40451,3.96906,0,0,white
9389764.147,4.40802,3.9767,0,0,white
9389780.814,4.4106,3.96765,0,0,white
9389797.481,4.41042,3.98846,0,0,white
9389814.147,4.40408,3.99442,0,0,white
9389830.814,4.40427,3.98782,0,0,white
9389847.481,4.40474,3.99223,0,0,white
9389864.147,4.401,3.98721,0,0,white
9389880.814,4.39507,3.98671,0,0,white
9389897.481,4.39468,3.98001,0,0,white
9389914.147,4.39061,3.9836,0,0,white
9389930.814,4.38983,3.97726,0,0,white
9389947.481,4.38829,3.98451,0,0,white
9389964.147,4.38731,3.9774,0,0,white
9389980.814,4.38632,3.98088,0,0,white
9389997.481,4.38953,3.97815,0,0,white
9390014.147,4.38525,3.97653,0,0,white
9390030.814,4.39041,3.97469,0,0,white
9390047.481,4.39175,3.98581,0,0,white
9390064.147,4.39729,3.97108,0,0,white
9390080.814,4.4037,3.98108,0,0,white
9390097.481,4.40591,3.9792,0,0,white
9390114.147,4.41005,3.98746,0,0,white
9390130.814,4.41682,3.97871,0,0,white
9390147.481,4.42438,3.99785,0,0,white
9390164.147,4.43124,3.98936,0,0,white
9390180.814,4.43515,3.99973,0,0,white
9390197.481,4.45355,4.0031,0,0,white
9390214.147,4.45869,4.00273,0,0,white
9390230.814,4.45828,4.00603,0,0,white
9390247.481,4.4648,4.01048,0,0,white
9390264.147,4.46553,4.01227,0,0,white
9390280.814,4.46997,4.01733,0,0,white
9390297.481,4.47742,4.01649,0,0,white
9390314.147,4.47955,4.01649,0,0,white
